key,en,fr,zh_Hans_CN,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
CHARACTER_FOXLAB_INVESTOR,Investor,Investisseur,股民,投資家,투자자,股民,Инвестор,Inwestor,Inversor,Investidor,Investor,Yatırımcı,Investitore
EFFECT_FOXLAB_PURCHASING_POWER,Purchasing power,Pouvoir d'achat,购买力,購買力,구매력,購買力,Покупательная способность,Siła nabywcza,Poder de compra,Poder de compra,Kaufkraft,Satın Alma Gücü,Potere d'acquisto
GAIN_STAT_MAX_HP,% [color=#FF8C00]Max HP[/color] Modification,Modification de % [color=#FF8C00]PV Max[/color],% [color=#FF8C00]最大生命值[/color]的修改,% [color=#FF8C00]最大HP[/color]の変動,% [color=#FF8C00]최대 HP[/color] 수정치,% [color=#FF8C00]最大HP[/color]的修改,% Модификация [color=#FF8C00]Макс. здоровья[/color],% Modyfikacja [color=#FF8C00]Maks. PZ[/color],% Modificación de [color=#FF8C00]PS máximos[/color],% Modificação de [color=#FF8C00]PV máximo[/color],% [color=#FF8C00]Max. HP[/color]-Modifikation,% [color=#FF8C00]Maks. Sağlık[/color] Değişikliği,% Modifica [color=#FF8C00]PS Massimi[/color]
EFFECT_FOXLAB_INVESTOR_MAX_HP,[color=#FF8C00]Last digit[/color] of Materials is converted into {2} at the end of a wave（digit 0 into -50%; +10% for each digit increment）,Le [color=#FF8C00]dernier chiffre[/color] des Matériaux est converti en {2} à la fin d'une vague (chiffre 0 en -50% ; +10% par incrément de chiffre),材料[color=#FF8C00]末位[/color]在敌袭结束后会转换为{2}（末位0转换为-50%，末位每+1，修改+10%）,マテリアルの[color=#FF8C00]下一桁[/color]はウェーブ終了時に{2}に変換される（0で-50%、+1ごとに変動+10%）,웨이브 종료 후 재료의 [color=#FF8C00]마지막 자리 수[/color]가 {2}(으)로 전환됩니다 (마지막 자리 0은 -50%,素材[color=#FF8C00]末位[/color]在敵襲結束後會轉換為{2}（末位0轉換為-50%，末位每+1，修改+10%）,[color=#FF8C00]Последняя цифра[/color] Материалов конвертируется в {2} в конце волны (цифра 0 в -50%; +10% за каждую единицу цифры),[color=#FF8C00]Ostatnia cyfra[/color] Materiałów jest konwertowana na {2} na końcu fali (cyfra 0 na -50%; +10% za każdy wzrost cyfry),El [color=#FF8C00]último dígito[/color] de los Materiales se convierte en {2} al final de una oleada (dígito 0 en -50%; +10% por cada incremento de dígito),O [color=#FF8C00]último dígito[/color] dos Materiais é convertido em {2} no final de uma onda (dígito 0 em -50%; +10% para cada incremento de dígito),[color=#FF8C00]Letzte Ziffer[/color] von Materialien wird am Ende einer Welle in {2} umgewandelt (Ziffer 0 in -50%; +10% pro Ziffer-Erhöhung),Malzemelerin [color=#FF8C00]son rakamı[/color] bir hücum sonunda {2}'ya dönüştürülür (0 rakamı -%50; her rakam artışı için +%10),La [color=#FF8C00]ultima cifra[/color] dei Materiali viene convertita in {2} alla fine di un'onda (cifra 0 in -50%; +10% per ogni incremento di cifra)
EFFECT_FOXLAB_INVESTOR_INVEST,{0} of your {1} are {3}:{4} converted into {2} at the end of a wave (Ignore modifications of {2}),{0} de votre {1} sont {3} : {4} convertis en {2} à la fin d'une vague (ignore les modifications de {2}),{0}的{1}在敌袭结束后会{3}：{4}转换为{2}（无视{2}的修改）,{0}の{1}はウェーブ終了時に{3}：{4}{2}に変換される（{2}の変動を無視）,웨이브 종료 후 {1}의 {0}이(가) {3}: {4} {2}(으)로 전환됩니다 ({2}의 수정치 무시),{0}的{1}在敵襲結束後會{3}：{4}轉換為{2}（無視{2}的修改）,{0} ваших {1} {3}:{4} конвертируются в {2} в конце волны (Игнорировать модификации {2}),{0} twoich {1} jest {3}:{4} konwertowane na {2} na końcu fali (Ignoruj modyfikacje {2}),{0} de tu {1} son {3}:{4} convertidos en {2} al final de una oleada (Ignora modificaciones de {2}),{0} do seu {1} são {3}:{4} convertidos em {2} no final de uma onda (Ignora modificações de {2}),{0} deiner {1} werden {3}:{4} in {2} am Ende einer Welle umgewandelt (Modifikationen von {2} werden ignoriert),{1}'nın {0}'ı bir hücum sonunda {3}: {4} {2}'ya dönüştürülür ({2}'nın değişikliklerini yok sayar),{0} del tuo {1} vengono {3}:{4} convertiti in {2} alla fine di un'onda (Ignora le modifiche di {2})
CHARACTER_FOXLAB_PUFFERFISH,Pufferfish,Poisson-globe,刺鲀,フグ,복어,刺魨,Иглобрюх,Rozdymka,Pez globo,Baiacu,Kugelfisch,Balon Balığı,Pesce palla
GAIN_STAT_ARMOR,% [color=#FF8C00]Armor[/color] Modification,Modification de % [color=#FF8C00]Armure[/color],% [color=#FF8C00]护甲[/color]的修改,% [color=#FF8C00]防御力[/color]の変動,% [color=#FF8C00]방어구[/color] 수정치,% [color=#FF8C00]盔甲[/color]的修改,% Модификация [color=#FF8C00]Брони[/color],% Modyfikacja [color=#FF8C00]Pancerza[/color],% Modificación de [color=#FF8C00]Armadura[/color],% Modificação de [color=#FF8C00]Armadura[/color],% [color=#FF8C00]Rüstung[/color]-Modifikation,% [color=#FF8C00]Zırh[/color] Değişikliği,% Modifica [color=#FF8C00]Corazza[/color]
ITEM_FOXLAB_EXPAND,Expand,Expansion,膨胀,膨張,팽창,膨脹,Расширение,Rozszerzenie,Expandir,Expandir,Expansion,Genişlet,Espandi
ITEM_FOXLAB_SHRINK,Shrink,Contraction,收缩,収縮,수축,收縮,Сжатие,Kurczenie,Encoger,Encolher,Schrumpfen,Daralt,Riduci
EFFECT_FOXLAB_GUARANTEED_SHOP_ITEM,{1} is the only new arrival in shop,{1} est la seule nouveauté en boutique,商店只上新1{1},ショップの新着は{1}のみ,상점에 {1}만 새로 입고됩니다,商店只上新1{1},{1} — единственное новшество в магазине,{1} to jedyna nowość w sklepie,{1} es la única novedad en la tienda,{1} é a única novidade na loja,{1} ist die einzige Neuheit im Laden,Dükkânda yeni gelen yalnızca {1},{1} è l'unico nuovo arrivo nel negozio
EFFECT_FOXLAB_EXTRA_ITEM_IN_CRATE,{0} chance of finding {1} in a crate,{0} chance de trouver {1} dans une caisse,箱子中有{0}几率发现{1},箱の中に{0}の確率で{1}が見つかる,상자에서 {1}을(를) 발견할 확률 {0},箱子中有{0}機率發現{1},{0} шанс найти {1} в ящике,{0} szans na znalezienie {1} w skrzyni,{0} probabilidad de encontrar {1} en una caja,{0} chance de encontrar {1} em uma caixa,{0} Chance {1} in einer Kiste zu finden,Bir sandıkta {1} bulma şansı {0},{0} probabilità di trovare {1} in una cassa
EFFECT_FOXLAB_EXTRA_ITEM_IN_CRATE_DUAL,{0} chance of finding {1}/{2} in a crate,{0} chance de trouver {1}/{2} dans une caisse,箱子中有{0}几率发现{1}/{2},箱の中に{0}の確率で{1}/{2}が見つかる,상자에서 {1}/{2}을(를) 발견할 확률 {0},箱子中有{0}機率發現{1}/{2},{0} шанс найти {1}/{2} в ящике,{0} szans na znalezienie {1}/{2} w skrzyni,{0} probabilidad de encontrar {1}/{2} en una caja,{0} chance de encontrar {1}/{2} em uma caixa,{0} Chance {1}/{2} in einer Kiste zu finden,Bir sandıkta {1}/{2} bulma şansı {0},{0} probabilità di trovare {1}/{2} in una cassa
EFFECT_FOXLAB_PROJECTILE_ON_HIT,Spawn {0} explosive projectiles dealing {1}（{3}）damage when attacked by an enemy,Engendre {0} projectiles explosifs infligeant {1}（{3}）dégâts quand attaqué par un ennemi,受敌人攻击时发射{0}个爆炸投射物，造成{1}（{3}）伤害,敵の攻撃を受けた時{0}個の爆発弾を発射し、{1}（{3}）ダメージを与える,적의 공격을 받을 때 폭발 투사체 {0}개를 발사하여 {1} ({3}) 피해를 줍니다,受敵人攻擊時發射{0}個爆炸投射物，造成{1}（{3}）傷害,Создаёт {0} взрывных снарядов наносящих {1} ({3}) урон при атаке врагом,Tworzy {0} wybuchowych pocisków zadających {1}({3}) obrażeń po ataku wroga,Genera {0} proyectiles explosivos infligiendo {1}({3}) de daño al ser atacado por un enemigo,Gera {0} projéteis explosivos causando {1}({3}) de dano ao ser atacado por um inimigo,Erschafft {0} explosive Projektile die {1} ({3}) Schaden verursachen wenn du von einem Feind angegriffen wirst,"Bir düşman tarafından saldırıldığında {0} patlayıcı mermi oluşur, {1} ({3}) hasar verir",Genera {0} proiettili esplosivi che infliggono {1}({3}) danni quando attaccato da un nemico
FOXLAB_PROJECTILE_ON_HIT_NUM,projectiles on hit,Projectiles à l'impact,受击投射物,被弾時投射物,피격 시 투사체,受擊投射物,Снаряды при получении удара,Pociski przy otrzymaniu ciosu,proyectiles al recibir impacto,Projéteis ao ser atingido,Projektile bei Treffer,Vuruşta mermi,Proiettili al colpo
EFFECT_FOXLAB_EXPLODE_ON_OVERKILL,Enemies taking {3} their max health as damage explode for {1} ({2}) damage,Les ennemis subissant {3} de leurs PV max en dégâts explosent pour {1} ({2}) dégâts,敌人受到{3}其最大生命值伤害会爆炸，造成{1}（{2}）伤害,敵が最大HPの{3}以上のダメージを受けると爆発し、{1}（{2}）ダメージを与える,적이 최대 HP의 {3} 배 이상의 피해를 받으면 폭발하여 {1} ({2}) 피해를 줍니다,敵人受到{3}其最大HP傷害會爆炸，造成{1}（{2}）傷害,Враги получившие {3} от своего максимального здоровья как урон взрываются нанося {1} ({2}) урон,Wrogowie otrzymujący {3} swoich maks. HP jako obrażenia eksplodują za {1} ({2}) obrażeń,Los enemigos que reciben {3} de su PS máximos como daño explotan infligiendo {1} ({2}) de daño,Inimigos que sofrem {3} de sua PV máximo como dano explodem causando {1} ({2}) de dano,Feinde die {3} ihrer max HP als Schaden erhalten explodieren für {1} ({2}) Schaden,Maks. Sağlık'lerinin {3} kadar hasar alan düşmanlar {1} ({2}) hasar için patlar,I nemici che subiscono {3} della loro PS massimi come danno esplodono infliggendo {1} ({2}) danni
EFFECT_FOXLAB_APPLY_ONLY,{0} {1} permanently when you get this item,{0} {1} de façon permanente quand vous obtenez cet objet,当你获得此道具时，永久{0}{1},このアイテムを獲得した時、永続的に{0}{1},이 아이템을 획득할 때 영구적으로 {0} {1},當你獲得此道具時，永久{0}{1},{0} {1} навсегда при получении этого предмета,{0} {1} na stałe po otrzymaniu tego przedmiotu,{0} {1} permanentemente al obtener este objeto,{0} {1} permanentemente ao obter este item,{0} {1} dauerhaft wenn du diesen Gegenstand erhältst,Bu eşyayı aldığında kalıcı olarak {0} {1},{0} {1} permanentemente quando ottieni questo oggetto
CHARACTER_FOXLAB_WAR_MASTER,War Master,Maître de guerre,善战者,ウォーマスター,워 마스터,善戰者,Военный мастер,Mistrz Wojny,Maestro de Guerra,Mestre de Guerra,Kriegsmeister,Savaş Ustası,Maestro di Guerra
EFFECT_FOXLAB_UPGRADE_RANDOM_WEAPON,A random weapon is upgraded when entering a shop. {0} {1} if you have no weapon to upgrade,Une arme aléatoire est améliorée en entrant en boutique. {0} {1} si vous n'avez aucune arme à améliorer,进入商店时随机升级一把武器。如果无法升级则{0}{1},ショップに入る時、ランダムな武器が1つアップグレードされる。アップグレードできない場合{0}{1},상점 진입 시 무기가 무작위로 업그레이드됩니다. 업그레이드할 무기가 없으면 {0} {1},進入商店時隨機升級一把武器。如果無法升級則{0}{1},Случайное оружие улучшается при входе в магазин. {0} {1} если нечего улучшать,Losowa broń jest ulepszana przy wejściu do sklepu. {0} {1},Un arma aleatoria se mejora al entrar a una tienda. {0} {1} si no tienes arma para mejorar,Uma arma aleatória é melhorada ao entrar na loja. {0} {1} se não tiver arma para melhorar,Eine zufällige Waffe wird beim Betreten eines Ladens aufgewertet. {0} {1} wenn du keine Waffe aufwerten kannst,Dükkâna girerken rastgele bir silah yükseltilir. Yükseltecek silahın yoksa {0} {1},Un'arma casuale viene potenziata quando entri in un negozio. {0} {1} se non hai armi da potenziare
EFFECT_FOXLAB_ANVIL,"{0} chance of finding [color=#FF8C00]7[/color] kinds of {1}; when entering a shop, {1} take effect by obtaining order","{0} chance de trouver [color=#FF8C00]7[/color] types de {1} ; en entrant en boutique, les {1} prennent effet selon l'ordre d'obtention",箱子中有{0}几率发现[color=#FF8C00]7[/color]种{1}，进入商店时，{1}按获得顺序依次判定,箱の中に[color=#FF8C00]7[/color]種類の{1}が{0}の確率で見つかる；ショップに入る時、{1}は取得順に効果を発動する,상자에서 [color=#FF8C00]7[/color]종류의 {1}을(를) 발견할 확률 {0}; 상점 진입 시 {1}은(는) 획득 순서대로 적용됩니다,箱子中有{0}機率發現[color=#FF8C00]7[/color]種{1}，進入商店時，{1}按獲得順序依次判定,{0} шанс найти [color=#FF8C00]7[/color] видов {1} в ящике; при входе в магазин {1} действуют в порядке получения,"{0} szans na znalezienie [color=#FF8C00]7[/color] rodzajów {1}; przy wejściu do sklepu, {1} działają w kolejności uzyskania","{0} probabilidad de encontrar [color=#FF8C00]7[/color] tipos de {1}; al entrar a una tienda, {1} surten efecto por orden de obtención",{0} chance de encontrar [color=#FF8C00]7[/color] tipos de {1}; ao entrar na loja {1} surtem efeito na ordem de obtenção,{0} Chance [color=#FF8C00]7[/color] Arten von {1} in einer Kiste zu finden; beim Betreten eines Ladens wirken {1} in der Reihenfolge ihres Erhalts,"[color=#FF8C00]7[/color] tür {1} bulma şansı {0}; dükkâna girerken {1}, elde edilme sırasına göre etkili olur",{0} probabilità di trovare [color=#FF8C00]7[/color] tipi di {1}; quando entri in un negozio {1} hanno effetto in ordine di ottenimento
LIVING_ENEMY,Living Enemy,Ennemi vivant,存活敌人,生存エネミー,생존 적,存活敵人,Живой враг,Żyjący Wróg,Enemigo Vivo,Inimigo Vivo,Lebender Feind,Hayatta Düşman,Nemico Vivo
RECYCLING_GAINS,% Recycling Gains,% Gains de recyclage,%回收收益,%リサイクル収益,% 분해 수익,%回收收益,% Доход от переработки,% Zyski z Recyklingu,% Ganancias de Reciclaje,% Ganhos de Reciclagem,% Recycling-Erlöse,% Geri Dönüşüm Kazancı,% Guadagni Riciclaggio
DODGE_CAP,% Dodge Cap,% Plafond d'esquive,%闪避上限,%回避上限,% 회피 상한,%迴避上限,% Максимальное уклонение,% Limit Uniku,% Límite de Agilidad,% Limite de Esquiva,% Ausweich-Cap,% Kaçınma Sınırı,% Limite Schivata
EFFECT_FOXLAB_DECREASE_TIER_ON_EVERY_REROLL,Items will be {0} tier lower after rerolls,Les objets seront {0} rang(s) plus bas après un reroll,商店刷新后降低{0}个级别,リロール後にアイテムが{0}ティア低下する,상점 초기화 후 등급이 {0} 낮아집니다,商店重骰後降低{0}個級別,Предметы будут на {0} ранг ниже после переброса,Przedmioty będą o {0} poziom niższe po zmianie asortymentu,Los objetos serán {0} niveles más bajos tras rerolls,Itens serão {0} tiers menores após rerolls,Gegenstände sind nach Neuwürfen {0} Stufen niedriger,Yenilemelerden sonra eşyalar {0} seviye daha düşük olur,Gli oggetti saranno di {0} gradi inferiori dopo i reroll
ITEM_FOXLAB_WIND,Anvil (Swift as Wind),Enclume (Rapide comme le Vent),铁砧・其疾如风,アンビル・疾きこと風の如く,모루・질풍,鐵砧・其疾如風,Наковальня (Стремителен как ветер),Kowadło (Szybki jak Wiatr),Yunque (Rápido como el Viento),Bigorna (Rápida como o Vento),Amboss (Schnell wie der Wind),Örs (Rüzgâr Gibi Hızlı),Incudine (Veloce come il Vento)
ITEM_FOXLAB_FOREST,Anvil (Gentle as Forest),Enclume (Silencieux comme la Forêt),铁砧・其徐如林,アンビル・徐かなること林の如く,모루・서림,鐵砧・其徐如林,Наковальня (Спокоен как лес),Kowadło (Łagodny jak Las),Yunque (Suave como el Bosque),Bigorna (Gentil como a Floresta),Amboss (Sanft wie der Wald),Örs (Orman Gibi Sakin),Incudine (Delicato come la Foresta)
ITEM_FOXLAB_FIRE,Anvil (Fierce as Fire),Enclume (Féroce comme le Feu),铁砧・侵略如火,アンビル・侵掠すること火の如く,모루・화염,鐵砧・侵略如火,Наковальня (Яростен как огонь),Kowadło (Groźny jak Ogień),Yunque (Feroz como el Fuego),Bigorna (Feroz como o Fogo),Amboss (Heftig wie das Feuer),Örs (Ateş Gibi Vahşi),Incudine (Feroce come il Fuoco)
